Value,Info
UNKNOWN,Unknown
TEA,Tea cup
COFFEE,Coffee cup
SOUP,Soup
DESSERT,Dessert bowl
SLOPS,Slops bowl
SAUCER,Saucer
APPIE,Appie
TWIFL,Twiffler
LUCN_PLATE,Luncheon plate
BREADBUTTER,Bread and butter plate
DINNER,Dinner plate
PITCHER,Pitcher or jug
WASHBOWL,Wash bowl
SERVING,Serving platter
GRAVY,Gravy or sauce boat
MILKJUG,MilkJug
CREAM,Creamer crock
DEMIJOHN,Demiijohn
GINGER,Ginger beer
STONEWARE,Stoneware bottle
CHAMBER,Chamber pot
TEAPOT,Teapot
TUREEN,Tureen
CLAYPIPE,Clay pipe for smoking
CONDIMENTs,Condiments salt etc
MIXING,Mixing bowl
DRAINER,Drainer or collander
FLOWERPOT,Flower pot
CANDLE,Candlestick
DOORFURN,Door furniture
KNOB,Knob for furniture
INSUL,Insulator
JAR,Jar or other pot
EGG,Egg cup
LID,Lid
