Values,Details
Foundations,"Features used as footings for structures, such as linear features made from wood, brick, stone or compacted sediment, or raised/levelled features providing a demarcated floor (e.g. raised earthen floor, concrete pad)"
Standing structure,"Any historic structure that is still standing, more than 50% intact, and whose original form and fabric is easily discerned"
Walls or posts,"Any historic wall or remnants thereof, both collapsed or standing, including associated gates, posts or entrances"
Fences,"Any historic fence, collapsed or standing, including associated gates, posts or entrances"
Landscaping,Modification of the original land surface for any purpose
Plantings,"Areas used for planting of edible or ornamental species (orchards, gardens)"
Rubble,"Assemblage of construction material (e.g. brick, stone, wood, concrete) associated with a collapsed structure or building"
Discard area,"Areas or features used for intentional discard of refuse (privy pits, incinerators, rubbish areas)"
Well,"Intentionally constructed feature, typically lined, and used for retrieving water"
Water management,"Features associated with capture, movement or storage of water (weir, pipeline, canals, tank)"
Roads and tracks,"Features, typically linear, associated with transportation of people, stock or goods (e.g. historic track, pathway, raised road)"
Mining,"Features assocaited with mining activities (stamp head, davit trench, associated structures and buildings)"
Machinery,"Objects or structures that are mechanical in nature (e.g. abandoned vehicle, wrecked plane, mining equipment)"
Burials,Evidence of burials (single or multiple)
Wharf or landing,"Features used for landing, loading and unloading vessels. Can be built structures or modified landscape"
Other,Use annotation field to describe
