Values,Info
Not applicable,
Pigment -- Stencils,Tracings of objects
Pigment -- prints,Wet application of pigment onto subject (e.g. hand) and then placed against panel surface
Pigment -- drawings,"Typically linear application of pigment, for example, clay 'crayons'"
Pigment -- paintings,Wet application of pigment onto surface
Engraved -- abraded,Engravings created through direct abrasion
Engraved -- pecked,Engravings created through pecking or percussion
Engraved with pigment applied,Engravings with pigment applied
Grinding patches,"Grooves or depressions created through intensive grinding, e.g. for ochre preparation"
Other,Describe in annotations
