Top Level hierarchy,Values,Info
"Acquatic, coastal and lacustrine",Algae: fresh or brackish,"A member of the Chlorophyta, Cyanophyta Phaeophyta or Rhodophyta living in fresh or brackish aquatic environments."
"Acquatic, coastal and lacustrine",Algae: marine,"A member of the Chlorophyta, Cyanophyta, Phaeophyta or Rhodophyta living in marine environments. May range from thin surface- hugging layers to tall algal forests."
"Acquatic, coastal and lacustrine",Aquatic higher plants,"Dicotyledonous or monocotyledonous plants growing for a significant portion of their life cycle in fresh or brackish water. This may include various woody vegetation such as mangroves, eucalypt, melaleuca or other woody, periodically submerged vegetation, which span saline aquatic environments from brackish to hypersaline."
"Acquatic, coastal and lacustrine",Seagrass: marine,"Genera and species of flowering angiosperms of the families Hydrocharitaceae and Potamogetonaceae, forming sparse to dense mats of material at the subtidal level and down to 30 m below mean sea level. Occasionally exposed (e.g. at low tides)."
Chenopod Shrub,Chenopod Shrub,"Single-stemmed or multi-stemmed, semi- succulent shrub of the family Chenopodiaceae exhibiting drought and salt tolerance (e.g. Old Man Saltbush)"
Ferns,Ferns,A member of the Division Pterophyta (i.e.ferns and fern allies). Characterised by large and usually branched leaves (fronds); herbaceous and terrestrial to aquatic; spores in sporangia on the undersides of leaves. Tree ferns are classified with woody plants as they have the same vegetation structure.
Grasses,Grass,Member of the family Poacea (hollow stemmed or graminoid grasses)
Grasses,Grass: planted/cultivated,"Member of the Poaceae planted or cultivated for specific human uses (e.g. human or other animal food, lawn or other ground cover)."
Grasses,Hummock grass,"Coarse xeromorphic grass with a mound-like form often dead in the middle; genera are Triodia, Plectrachne and Zygochloa (e.g. spinifex)"
Grasses,Tussock grass,Grasses forming discrete but open tufts usually with distinct individual shoots. These include the common agricultural grasses.
"Heath, Shrub and Vines",Heath,"Shrub usually less than 2 m tall, commonly woody with ericoid (i.e. small, tough) leaves. Often a member of one of the following families: Epacridaceae, Myrtaceae, Fabaceae and Proteaceae. Commonly occur on nutrient-poor substrates."
"Heath, Shrub and Vines",Shrub,"Woody plant, multi-stemmed at the base (or within about 200 mm from ground level), or, if single-stemmed, less than about 5 m tall; not always readily distinguishable from small trees. Includes chenopod scrub."
"Heath, Shrub and Vines",Shrub: planted/cultivated,Shrubs planted in rows for the production of food crops.
"Heath, Shrub and Vines",Vine,"Climbing, twining, winding or sprawling plants usually with a woody stem"
Herbs and forbs,Forb,"Plant with leaves and stems that die down an on annual, biennial or perennial basis. Forbs are non-graminoid herbaceous plants, ie. a flowering plant that is not a grass, that have a non-woody stem. Compare with 'Herb'. "
Herbs and forbs,Herb,"Plant with leaves and stems that die down an on annual, biennial or perennial basis. Herbs have a slightly woody stem. Compare with 'Forb'. "
Herbs and forbs,Herb: planted/cultivated,"Plant with leaves and stems that die down an on annual, biennial or perennial basis. Planted/cultivated annual or perennial herbaceous plant (monocotyledon or dicotyledon, non-woody stem); includes those cultivated for food or non-food purposes."
Minimal vegetation on exposed substrates,Bare surface,"Soil, rock or water surfaces with less than 0.5% plant cover."
Minimal vegetation on exposed substrates,Surface crusts,"Assemblages of one or more species of minute plants at or within the surface of soil or rock. May consist of bryophytes, lichens, cyanobacteria, green algae and fungi; may in some cases include very small vascular plants."
Moss and lichens,Bryophyte,"A member of the Division Bryophyta (i.e. mosses and liverworts). Mosses are small plants usually with a slender leaf-bearing stem with no true vascular tissue. Liverwort often appear moss-like or consist of a flat, ribbon-like, green thallus."
Moss and lichens,Lichen,"Composite plant consisting of a fungus living symbiotically with algae or cyanobacteria; without true roots, stems or leaves"
Rushes and sedges,Rush,"Herbaceous, usually perennial, erect monocot that is neither a grass nor a sedge. According to the ASLSFH, rushes include the monocotyledon families Juncaceae, Typhaceae, Liliaceae, Iridaceae, Xyridacea and the genus Lomandra, i.e. 'graminoid' or grass-like genera."
Rushes and sedges,Sedge,"Herbaceous, usually perennial, erect plant generally with a tufted habit and of the families Cyperaceae (true sedges) or Restionaceae (node sedges)."
Woody plants and trees,Mallee,Any of the eucalypt trees or shrubs with multiple stems arising from a lignotuber.
Woody plants and trees,Tree,"Woody plant more than 2 m tall usually with a single stem, or branches well above the base; not always distinguishable from large shrubs."
Woody plants and trees,Tree: planted/cultivated,"Trees planted in mostly urban/suburban settings (e.g. gardens, along streets, and nurseries), or cultivated for food (e.g. orchards) or non-food purposes (e.g. forestry)."
Woody plants and trees,Tree: rainforest,"No widely accepted or universal definition for Australian rainforests. Usually distinguished by their dark green colour and species composition, which contrasts with the surrounding grey or reddish-green and often eucalypt-dominated vegetation."
Woody plants and trees,Woody plant,"Plants with woody tissues. For the purposes of vegetation classification here, also those plants that achieve a growth form similar to that of woody plants (e.g. cycads, palms, tree ferns). Includes both trees and shrubs."
